data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8976250,218,ECU1675,1675,"31 March 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)","LGBT (Ecuador)",6,,,0,60,"South America",Ecuador,Guayas,Guayaquil,,Guayaquil,-2.1962,-79.8862,1,"El Mercurio (Ecuador)",National,"On 31 March 2022, in Guayaquil (Guayas), a group of people and trans rights' activists staged a demonstration asking the Government to guarantee the right to life to transgender people. [size=no report]",0,1649104519,ECU
8976319,218,ECU1676,1676,"31 March 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)","Labour Group (Ecuador)",6,,,0,60,"South America",Ecuador,Guayas,Playas,,Playas,-2.632,-80.3881,1,Expreso,National,"On 31 March 2022, in Playas (Guayas), dozens of residents, merchants, and business owners marched to protest against insecurity and criminality in the area. [size=dozens]",0,1649104520,ECU
8976236,218,ECU1674,1674,"29 March 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,"South America",Ecuador,Tungurahua,Ambato,,Ambato,-1.2491,-78.6168,1,"El Heraldo (Ecuador)",Subnational,"On 29 March 2022, in Ambato (Tungurahua), residents of Yacupamba staged a demonstration outside the local government offices to complain about the expropriation of their lands due to a possible relocation of Santa Clara square. [size=no report]",0,1649104519,ECU
8976235,218,ECU1673,1673,"28 March 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,"South America",Ecuador,Tungurahua,Ambato,,Ambato,-1.2491,-78.6168,1,"El Heraldo (Ecuador)",Subnational,"On 28 March 2022, in Ambato (Tungurahua), family members of missing people and members of the Association of Relatives of Missing Persons (ASFADEC) staged a demonstration outside the State Attorney's offices to demand justice and faster investigations. [size=no report]",0,1649104519,ECU
8976306,218,ECU1670,1670,"28 March 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)","Farmers (Ecuador)",6,,,0,60,"South America",Ecuador,Guayas,Guayaquil,,Guayaquil,-2.1962,-79.8862,1,"El Universo (Ecuador)",National,"On 28 March 2022, in Guayaquil (Guayas), banana farmers marched through the Union Nacional bridge to demand the government start an emergency fund for their sector and buy the surplus of bananas due to the stop of exports to Russia and Ukraine. [size=no report]",0,1649104520,ECU
8976317,218,ECU1671,1671,"28 March 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,"South America",Ecuador,Guayas,Guayaquil,,Guayaquil,-2.1962,-79.8862,1,Expreso,National,"On 28 March 2022, in Guayaquil (Guayas), parents of students of the Francisco Huerta Rendon school staged a demonstration outside the school against the possible foreclosure of the facilities that have been functioning for 50 years. [size=no report]",0,1649104520,ECU
8976318,218,ECU1672,1672,"28 March 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,"South America",Ecuador,Guayas,Guayaquil,,Guayaquil,-2.1962,-79.8862,1,Expreso,National,"On 28 March 2022, in Guayaquil (Guayas), supporters of the mayor and neighborhood leaders staged a demonstration outside the Expreso newspaper offices to question the role of transparency that this newspaper plays in municipal management. This comes after news of the former husband of the mayor came out about benefiting from lands where the local government constructed infrastructure around. [size=no report]",0,1649104520,ECU
8916622,218,ECU1667,1667,"24 March 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,"South America",Ecuador,Cotopaxi,Latacunga,,Latacunga,-0.9352,-78.6155,1,"El Comercio (Ecuador)",National,"On 24 March 2022, in Latacunga (Cotopaxi), parents of students staged a demonstration to support a teacher who was laid off after he cut his students' hair. The parents claimed that it's a way to maintain discipline in the school and support his actions. [size=no report]",0,1648486733,ECU
8916624,218,ECU1668,1668,"24 March 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)","Labour Group (Ecuador)",6,,,0,60,"South America",Ecuador,Pichincha,Quito,,Quito,-0.2299,-78.525,1,"El Comercio (Ecuador)",National,"On 24 March 2022, in Quito - Manuela Saenz (Pichincha), for the fourth consecutive day, taxi cab drivers blocked several streets in the center of the city as a demonstration to demand the local government to exclude them from the car restriction measure, known as 'Pico y Placa', and to control informal and transportation platforms drivers. They were previously excluded during the coronavirus pandemic lockdown measures and a new disposition included them in the restriction. [size=no report]",0,1648486733,ECU
8916623,218,ECU1666,1666,"23 March 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)","Labour Group (Ecuador)",6,,,0,60,"South America",Ecuador,Pichincha,Quito,,Quito,-0.2299,-78.525,1,"El Comercio (Ecuador)",National,"On 23 March 2022, in Quito - Manuela Saenz (Pichincha), for the third consecutive day, taxi cab drivers blocked several streets in the center of the city as a demonstration to demand the local government to exclude them from the car restriction measure, known as 'Pico y Placa', and to control informal and transportation platforms drivers. They were previously excluded during the coronavirus pandemic lockdown measures and a new disposition included them in the restriction. [size=no report]",0,1648486733,ECU
