data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9443173,218,ECU2859,2859,"11 August 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,"South America",Ecuador,Manabi,Manta,,Manta,-0.9621,-80.7127,1,"El Universo (Ecuador)",National,"On 11 August 2022, in Manta (Manabi), dozens of residents dressed in white marched through the city as a demonstration to demand justice for the killing of a journalist that happened the previous day. [size=dozens]",0,1660582461,ECU
9443185,218,ECU2858,2858,"09 August 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,"South America",Ecuador,"Santa Elena","Santa Elena",,"Santa Elena",-2.2262,-80.8587,1,Expreso,National,"On 9 August 2022, in Santa Elena (Santa Elena), residents blocked the Santa Elena - Guayaquil highway in front of the Ecuador Transit Commission (CTE) offices to complain about the high costs and quantity of speeding tickets by a radar placed on the sector. They claimed an irregularity in the fines, claiming that the radar placed a higher speed than they were going, and demanded authorities remove the radars. [size=no report]",0,1660582461,ECU
9443113,218,ECU2856,2856,"08 August 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,"South America",Ecuador,Manabi,Manta,,Manta,-0.9621,-80.7127,1,"El Diario (Ecuador)",Subnational,"On 8 August 2022, in Manta (Manabi), parents, family members, and friends of a student whom a janitor sexually assaulted in her school in the El Porvenir neighborhood staged a demonstration outside the State Attorney's offices to demand justice for the student. [size=no report]",0,1660582461,ECU
9443174,218,ECU2857,2857,"08 August 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)","Labour Group (Ecuador)",6,,,0,60,"South America",Ecuador,Tungurahua,Ambato,,Ambato,-1.2491,-78.6168,1,"El Universo (Ecuador)",National,"On 8 August 2022, in Ambato (Tungurahua), urban and rural transportation drivers staged a demonstration outside the local government offices to demand an increased bus fair price. [size=no report]",0,1660582461,ECU
9434536,218,ECU2855,2855,"05 August 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,"South America",Ecuador,Guayas,Guayaquil,,Guayaquil,-2.1962,-79.8862,1,Expreso,National,"On 5 August 2022, in Guayaquil (Guayas), dozens of residents staged a demonstration outside the La Merced State Attorney's offices to reject the mayor for being involved in corruption cases. [size=dozens]",0,1659970520,ECU
9434411,218,ECU2854,2854,"03 August 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)","Labour Group (Ecuador)",6,,,0,60,"South America",Ecuador,Loja,Loja,,Loja,-3.9931,-79.2042,1,"Cronica (Ecuador)",Subnational,"On 3 August 2022, in Loja (Loja), unionized workers members of the Loja Municipal Workers Union staged a demonstration outside the Justice Court offices to demand justice for their co-worker that was killed in a car accident. The demonstration comes after the perpetrator was scheduled for a hearing to resolve his Habeas Corpus appeal. [size=no report]",0,1659970519,ECU
9434648,218,ECU2853,2853,"03 August 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,"South America",Ecuador,Chimborazo,Riobamba,,Riobamba,-1.671,-78.6471,1,"La Prensa Chimborazo",Subnational,"On 3 August 2022, in Riobamba (Chimborazo), members of the Rehabilitation of the Ecuadorian Railroad Front staged a demonstration outside the Chimborazo government and the Alfaro square to demand the national government reactivate the railroad system for cargo, passenger transport, and tourism in the country. [size=no report]",0,1659970520,ECU
9434529,218,ECU2852,2852,"01 August 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)","Farmers (Ecuador)",6,,,0,60,"South America",Ecuador,Guayas,Guayaquil,,Guayaquil,-2.1962,-79.8862,1,"El Universo (Ecuador)",National,"On 1 August 2022, in Guayaquil (Guayas), dozens of small and medium farming producers members of the Social Pact for Agriculture and the Homeland United Against Hunger and Corruption staged a demonstration outside the Zonal government offices to reject the maximum value of debts to be condoned. The negotiations between the Confederation of Indigenous Nationalities of Ecuador (CONAIE) and the government led to establishing a maximum amount of debt of 3000 dollars. [size=dozens]",0,1659970520,ECU
9434537,218,ECU2851,2851,"30 July 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)","LGBT (Ecuador)",6,,,0,60,"South America",Ecuador,Pichincha,Quito,,Quito,-0.2299,-78.525,1,Expreso,National,"On 30 July 2022, in Quito - Eugenio Espejo (Pichincha), LGBT members and residents marched around La Carolina park to celebrate the 25 years of decriminalization of homosexuality in Ecuador. [size=no report]",0,1659970520,ECU
9425643,218,ECU2850,2850,"27 July 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,"South America",Ecuador,Guayas,Playas,,Playas,-2.632,-80.3881,1,Expreso,National,"On 27 July 2022, in Playas (Guayas), residents of the Guayaquil neighborhood marched through the city towards the State Attorney's offices to complain about the increasing criminal activity. This demonstration was carried out after a local merchant was killed. [size=no report]",0,1659372704,ECU
9425736,218,ECU2849,2849,"21 July 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)","Labour Group (Ecuador)",6,,,0,60,"South America",Ecuador,Chimborazo,Riobamba,,Riobamba,-1.671,-78.6471,1,"La Prensa Chimborazo",Subnational,"On 21 July 2022, in Riobamba (Chimborazo), merchants at the Agricultural Producers' Market Municipal Public Company (Ep-EMMPA) staged a demonstration outside the company offices to complain about the current management. [size=no report]",0,1659372704,ECU
9419397,218,ECU2848,2848,"20 July 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,"South America",Ecuador,Manabi,Portoviejo,,Portoviejo,-1.0546,-80.4545,1,"El Diario (Ecuador)",Subnational,"On 20 July 2022, in Portoviejo (Manabi), residents of Bellavista sector staged a demonstration in Metropolitana avenue to complain about the poor state of the streets and demanding maintenance by the local government. [size=no report]",0,1658775901,ECU
9419396,218,ECU2847,2847,"19 July 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,"South America",Ecuador,Manabi,Pedernales,,Pedernales,0.0702,-80.0547,1,"El Diario (Ecuador)",Subnational,"On 19 July 2022, in Pedernales (Manabi), residents of Cojimies parish staged a demonstration outside the local government offices to demand the mayor to fulfil his campaign promises. They complained that they do not have streets in a good state, and they lack basic services, housing plans and other projects for this sector. [size=no report]",0,1658775901,ECU
9419448,218,ECU2846,2846,"18 July 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,"South America",Ecuador,Pichincha,Quito,,Quito,-0.2299,-78.525,1,"El Universo (Ecuador)",National,"On 18 July 2022, in Quito - Manuela Saenz (Pichincha), transplant patients and their family members staged a demonstration outside the Carondelet Palace to demand the Social Security Institute (IESS) to demand the continuation of the program of medicine provision for transplant patients that has a probability to be closed. [size=no report]",0,1658775901,ECU
9419398,218,ECU2845,2845,"17 July 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)","LGBT (Ecuador)",6,,,0,60,"South America",Ecuador,Manabi,Portoviejo,,Portoviejo,-1.0546,-80.4545,1,"El Diario (Ecuador)",Subnational,"On 17 July 2022, in Portoviejo (Manabi), LGBT residents marched from La Rotonda park towards Las Vegas sector as a demonstration to commemorate the Pride month. They demanded inclusion and acceptance of the LGBT community. [size=no report]",0,1658775901,ECU
9419453,218,ECU2844,2844,"17 July 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,"South America",Ecuador,Guayas,Guayaquil,,Guayaquil,-2.1962,-79.8862,1,Expreso,National,"On 17 July 2022, in Guayaquil (Guayas), more than 100 residents owners of Pitbull dogs and members of the Guayaquil Pitbull Club marched through the south of the city towards Centenario park as a demonstration to call for an end to discrimination and negative stereotypes around the Pitbull dog race. [size=more than 100]",0,1658775901,ECU
9407843,218,ECU2842,2842,"15 July 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)","Indigenous Group (Ecuador)",6,,,0,60,"South America",Ecuador,Manabi,Portoviejo,,Portoviejo,-1.0546,-80.4545,1,"El Diario (Ecuador)",Subnational,"On 15 July 2022, in Portoviejo (Manabi), Indigenous residents and leaders of Las Tunas de Puerto Lopez ancestral commune marched through the city towards the Agriculture Ministry offices to reject the granting of legal life to Ayampe as a commune. [size=no report]",0,1658162384,ECU
9419395,218,ECU2843,2843,"15 July 2022",2022,1,Riots,"Mob violence","Rioters (Ecuador)","Vigilante Group (Ecuador)",5,"Civilians (Ecuador)",,7,57,"South America",Ecuador,Esmeraldas,Esmeraldas,,Esmeraldas,0.9592,-79.654,1,"El Diario (Ecuador)",National,"On 15 July 2022, in Esmeraldas (Esmeraldas), residents captured a thief in Sucre and Parada 9 streets intersection, took his gun and beat him up. The robber was later taken by the police. [size=no report]",0,1658775901,ECU
9407831,218,ECU2840,2840,"14 July 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)","Labour Group (Ecuador)",6,,,0,60,"South America",Ecuador,Galapagos,"San Cristobal",,"Puerto Baquerizo Moreno",-0.9026,-89.6102,1,"El Comercio (Ecuador)",National,"On 14 July 2022, in Puerto Baquerizo Moreno (Galapagos), sea transportation drivers staged a demonstration to complain about the rise of fuel prices and demanding the government to provide with subsidies to the islands. [size=no report]",0,1658162384,ECU
9407832,218,ECU2841,2841,"14 July 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,"South America",Ecuador,Pichincha,Quito,,Quito,-0.2299,-78.525,1,"El Comercio (Ecuador)",National,"On 14 July 2022, in Quito - Manuela Saenz (Pichincha), dozens of patients with catastrophic illnesses staged a demonstration outside Carondelet palace to demand the government access to medicines they need for their treatments. [size=dozens]",0,1658162384,ECU
9407900,218,ECU2839,2839,"13 July 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)","UNE: National Union of Educators; Teachers (Ecuador)",6,,,0,60,"South America",Ecuador,Guayas,Guayaquil,,Guayaquil,-2.1962,-79.8862,1,"El Universo (Ecuador)",National,"On 13 July 2022, in Guayaquil (Guayas), unionized teachers members of the National Union of Educators (UNE) marched through the city from Rocafuerte square towards the constitutional court offices as a demonstration to complain about the delay of the publication of the Official Registry that would implement their salary leveling. [size=no report]",0,1658162384,ECU
9407859,218,ECU2838,2838,"12 July 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)","Farmers (Ecuador)",6,,,0,60,"South America",Ecuador,Tungurahua,Ambato,,Ambato,-1.2491,-78.6168,1,"El Heraldo (Ecuador)",Subnational,"On 12 July 2022, in Ambato (Tungurahua), close to 1000 farmers of Cunchibamba and Unamuncho staged a demonstration in front of the local government offices to demand the council and the mayor the definitive closure of the informal merchants fair in Huagracorral sector in Izabamba municipality. [size=close to 1000]",0,1658162384,ECU
9401691,218,ECU2837,2837,"02 July 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)","LGBT (Ecuador)",6,,,0,60,"South America",Ecuador,Guayas,Guayaquil,,Guayaquil,-2.1962,-79.8862,1,"El Comercio (Ecuador)",National,"On 2 July 2022, in Guayaquil (Guayas), LGBT residents marched through the city as a demonstration to demand an end to violent and discriminatory acts against the LGBT community. This demonstration was carried out in commemoration of LGBT pride month. [size=no report]",0,1657561996,ECU
9388292,218,ECU2836,2836,"01 July 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)","Women (Ecuador); LGBT (Ecuador); Indigenous Group (Ecuador); Labour Group (Ecuador)",6,,,0,60,"South America",Ecuador,Pichincha,Quito,,Quito,-0.2299,-78.525,1,"El Comercio (Ecuador); El Diario (Ecuador)",National,"On 1 July 2022, in Quito - Manuela Saenz (Pichincha), women's organizations, members of the LGBT community, and artists, among other people, marched through the 6th of December Avenue to the Ministry of Agriculture to decry racism, that they claimed had increased during nationwide demonstrations summoned by CONAIE. Demonstrators also demanded justice for the killed people as a result of the police repression during protests, and feminist claims. Women made a bonfire to perform indigenous ancestral rituals, although the protest kept peaceful at any time. [size=no report]",0,1657041386,ECU
9388289,218,ECU2811,2811,"30 June 2022",2022,1,Protests,"Peaceful protest","Protesters (Ecuador)","CONAIE: Confederation of Indigenous Nationalities of Ecuador; Indigenous Group (Ecuador)",6,,,0,60,"South America",Ecuador,Pichincha,Mejia,,Aloag,-0.4679,-78.5845,2,"El Comercio (Ecuador); El Telegrafo",National,"On 30 June 2022, near Aloag (Pichincha), Indigenous citizens supporters of the Confederation of Indigenous Nationalities of Ecuador (CONAIE) blocked the Aloag - Santo Domingo highway at kilometre 47 as a demonstration to demand the government to set fixed fuel prices, to give fair prices to farm produces and to stop labor insecurity. This follows a set of nationwide demonstrations summoned by CONAIE, that had been carried out for eighteen consecutive days. [size=no report]",0,1657041386,ECU
